Original,English Translation,Meaning,Audio File,,
A di laass ounce a strent teck yu ova di hill,It is the last ounce of strength that takes you over the hill.,"Success often requires pushing through when you are most exhausted. Perseverance in the final, hardest stretch is what leads to victory.",adilaass.ogg,adilaass,o
A nuh di smaddy weh nuh like yu a prablem. A di smaddy weh gwaan like dem like yu,It’s not the person who doesn’t like you that’s the problem. It's the person who pretends to like you,An open enemy is harmless compared to a fake friend who secretly wishes you ill while pretending to support you.,anuhdi.ogg,anuhdi,o
Big man nuh dreem seh him a guh a tilet. A bway ting dat,Big men don’t dream of going to the bathroom. That's a boy's thing,"Mature adults should take responsibility and maintain control over their lives, leaving childish mistakes or excuses behind.",bigmannuh.ogg,bigmannuh,o
Check fi yu life an yu naah guh spread mischiff pon nubady. Yu ave fi yu prablem tu,Examine your life and you will not go spread mischief on anybody. You have your problems too.,Focus on your own flaws and personal challenges instead of gossiping or causing trouble for others. People who live in glass houses shouldn't throw stones.,checkfiyu.ogg,checkfiyu,o
Dem a look fi yu mistake an miss yu message,They are looking for your mistake and miss your message,People are often so eager to criticize how you deliver something that they completely miss the valuable point you are making.,demalook.ogg,demalook,o
Evrytime yu git up yu fi tank Gad fi him day,Every time you get up you should thank God for his day.,Practice daily gratitude for the gift of life. Waking up each morning is a blessing that should never be taken for granted.,evrytimeyugit.ogg,evrytimeyugit,o
Gad a teck time fi gii yu. Nuh rush it,God is taking time to give to you. Don’t rush it,"Have patience and trust the process. Your blessings will come at the right time, so do not force things.",gadateck.ogg,gadateck,o
Guh easy an yu head wii always keep clear an yu haat naah full,Relax and take it easy and your head will always keep clear and your heart will not be full,"Taking a calm, measured approach to life prevents mental burnout and emotional overwhelm.",guheasyan.ogg,guheasyan,o
Haad wuk bill wackle an Daab. Dreem meck yu sleep a door,Hard work builds wattle and daub. Dreams make you sleep outside,"Action and effort yield tangible results and security, whereas merely dreaming without working leaves you with nothing.",haadwukbill.ogg,haadwukbill,o
If yu reely waan live spen nuff time wid chrue family,If you really want to live spend a lot of time with true family,Spending quality time with loved ones is essential for a fulfilling and happy life.,ifyureely.ogg,ifyureely,o
If yu tink tumuch yu brain wi badda yu,If you think too much your brain will bother you,Overthinking leads to unnecessary stress and anxiety. Sometimes it is better to let things be.,ifyutink.ogg,ifyutink,o
Life beet yu up wen yu stap chry. Truss yusself an Gad. Yu aguh deh pon top all di while,Life betrays you when you stop trying. Trust yourself and God. You will be on top all the time,"Giving up leads to defeat. Perseverance, self-belief, and faith are the keys to long-term success.",lifebeetyu.ogg,lifebeetyu,o
Likkle gud vibes meck Big difference,Good vibes can make a big difference,"Small acts of positivity, kindness, and good energy can have a massive impact on a situation or someone's day.",likklegudvibes.ogg,likklegudvibes,o
